Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.7281,0.8214,0.8118,0.8166,0.6272
RobustScaler,9,0.7281,0.8,0.8471,0.8229,0.6704
NoScaler,9,0.7105,0.7766,0.8588,0.8156,0.6611
RobustScaler,7,0.7018,0.7802,0.8353,0.8068,0.6692
RobustScaler,5,0.6842,0.8101,0.7529,0.7805,0.6584
NoScaler,7,0.6754,0.7791,0.7882,0.7836,0.6775
MinMaxScaler,9,0.6754,0.7667,0.8118,0.7886,0.6487
NoScaler,3,0.6667,0.7831,0.7647,0.7738,0.6931
StandardScaler,7,0.6667,0.7765,0.7765,0.7765,0.6647
MinMaxScaler,5,0.6667,0.7901,0.7529,0.7711,0.6389
Normalizer,7,0.6579,0.7614,0.7882,0.7746,0.5554
Normalizer,3,0.6491,0.7711,0.7529,0.7619,0.5515
Normalizer,9,0.6491,0.7473,0.8,0.7727,0.5357
NoScaler,5,0.6491,0.7647,0.7647,0.7647,0.6402
StandardScaler,9,0.6491,0.7528,0.7882,0.7701,0.6574
StandardScaler,5,0.6491,0.7922,0.7176,0.7531,0.6546
StandardScaler,3,0.6491,0.7778,0.7412,0.759,0.644
MinMaxScaler,7,0.6404,0.7619,0.7529,0.7574,0.6026
Normalizer,5,0.6316,0.7471,0.7647,0.7558,0.5807
MinMaxScaler,3,0.6053,0.75,0.7059,0.7273,0.5966
