Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,3,0.6667,0.7794,0.6974,0.7361,0.6846
StandardScaler,3,0.6316,0.7576,0.6579,0.7042,0.6447
RobustScaler,9,0.6228,0.7895,0.5921,0.6767,0.7027
MinMaxScaler,5,0.6228,0.7895,0.5921,0.6767,0.6679
RobustScaler,7,0.614,0.7667,0.6053,0.6765,0.7078
Normalizer,9,0.6053,0.7541,0.6053,0.6715,0.5691
Normalizer,7,0.6053,0.7541,0.6053,0.6715,0.594
StandardScaler,5,0.6053,0.7818,0.5658,0.6565,0.6672
MinMaxScaler,7,0.5965,0.7679,0.5658,0.6515,0.6555
RobustScaler,3,0.5877,0.7458,0.5789,0.6519,0.6686
RobustScaler,5,0.5877,0.7377,0.5921,0.6569,0.6937
StandardScaler,7,0.5877,0.7736,0.5395,0.6357,0.6363
NoScaler,9,0.5877,0.7231,0.6184,0.6667,0.6328
NoScaler,7,0.5877,0.7164,0.6316,0.6713,0.6224
NoScaler,5,0.5789,0.6944,0.6579,0.6757,0.6165
StandardScaler,9,0.5702,0.7647,0.5132,0.6142,0.6475
NoScaler,3,0.5702,0.6849,0.6579,0.6711,0.5852
MinMaxScaler,9,0.5614,0.7241,0.5526,0.6269,0.647
Normalizer,5,0.5614,0.7167,0.5658,0.6324,0.5611
Normalizer,3,0.5263,0.6833,0.5395,0.6029,0.5623
