Fold,Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,3,0.681,0.75,0.5488,0.6338,0.7068
1,NoScaler,5,0.6626,0.7077,0.561,0.6259,0.7441
1,NoScaler,7,0.6933,0.7667,0.561,0.6479,0.7262
1,NoScaler,9,0.6871,0.746,0.5732,0.6483,0.7213
1,NoScaler,11,0.6748,0.7544,0.5244,0.6187,0.712
1,StandardScaler,3,0.6626,0.7288,0.5244,0.6099,0.7004
1,StandardScaler,5,0.6933,0.7581,0.5732,0.6528,0.7386
1,StandardScaler,7,0.6871,0.746,0.5732,0.6483,0.734
1,StandardScaler,9,0.6626,0.7143,0.5488,0.6207,0.717
1,StandardScaler,11,0.6748,0.7458,0.5366,0.6241,0.7201
1,MinMaxScaler,3,0.681,0.75,0.5488,0.6338,0.7101
1,MinMaxScaler,5,0.6871,0.7541,0.561,0.6434,0.7066
1,MinMaxScaler,7,0.6933,0.7424,0.5976,0.6622,0.7257
1,MinMaxScaler,9,0.6871,0.746,0.5732,0.6483,0.7121
1,MinMaxScaler,11,0.6564,0.7167,0.5244,0.6056,0.724
1,RobustScaler,3,0.6871,0.7541,0.561,0.6434,0.714
1,RobustScaler,5,0.6626,0.7213,0.5366,0.6154,0.7386
1,RobustScaler,7,0.6994,0.7705,0.5732,0.6573,0.7292
1,RobustScaler,9,0.6871,0.7385,0.5854,0.6531,0.7235
1,RobustScaler,11,0.6871,0.7541,0.561,0.6434,0.7125
1,Normalizer,3,0.6442,0.6463,0.6463,0.6463,0.6575
1,Normalizer,5,0.6564,0.6757,0.6098,0.641,0.6786
1,Normalizer,7,0.6442,0.6714,0.5732,0.6184,0.6943
1,Normalizer,9,0.6748,0.7231,0.5732,0.6395,0.6775
1,Normalizer,11,0.6748,0.7302,0.561,0.6345,0.6866
2,NoScaler,3,0.681,0.7101,0.6049,0.6533,0.7324
2,NoScaler,5,0.6933,0.7541,0.5679,0.6479,0.7231
2,NoScaler,7,0.6933,0.7627,0.5556,0.6429,0.7144
2,NoScaler,9,0.6564,0.6923,0.5556,0.6164,0.734
2,NoScaler,11,0.638,0.6719,0.5309,0.5931,0.7176
2,StandardScaler,3,0.6871,0.7273,0.5926,0.6531,0.7419
2,StandardScaler,5,0.6933,0.7627,0.5556,0.6429,0.7136
2,StandardScaler,7,0.6503,0.7,0.5185,0.5957,0.7002
2,StandardScaler,9,0.6258,0.6613,0.5062,0.5734,0.7122
2,StandardScaler,11,0.6503,0.7,0.5185,0.5957,0.708
2,MinMaxScaler,3,0.6871,0.7206,0.6049,0.6577,0.744
2,MinMaxScaler,5,0.681,0.7377,0.5556,0.6338,0.7157
2,MinMaxScaler,7,0.6564,0.7049,0.5309,0.6056,0.7155
2,MinMaxScaler,9,0.6196,0.6508,0.5062,0.5694,0.7093
2,MinMaxScaler,11,0.6687,0.7213,0.5432,0.6197,0.7173
2,RobustScaler,3,0.681,0.7101,0.6049,0.6533,0.7324
2,RobustScaler,5,0.6994,0.7667,0.5679,0.6525,0.7244
2,RobustScaler,7,0.6871,0.75,0.5556,0.6383,0.7168
2,RobustScaler,9,0.6503,0.6818,0.5556,0.6122,0.7332
2,RobustScaler,11,0.638,0.6719,0.5309,0.5931,0.7191
2,Normalizer,3,0.6442,0.6667,0.5679,0.6133,0.6902
2,Normalizer,5,0.6258,0.6471,0.5432,0.5906,0.6769
2,Normalizer,7,0.6319,0.6615,0.5309,0.589,0.6728
2,Normalizer,9,0.638,0.6897,0.4938,0.5755,0.6734
2,Normalizer,11,0.6012,0.6538,0.4198,0.5113,0.6614
3,NoScaler,3,0.7037,0.7143,0.679,0.6962,0.7799
3,NoScaler,5,0.716,0.7215,0.7037,0.7125,0.7904
3,NoScaler,7,0.7222,0.7432,0.679,0.7097,0.7989
3,NoScaler,9,0.7099,0.7361,0.6543,0.6928,0.78
3,NoScaler,11,0.6975,0.7222,0.642,0.6797,0.7827
3,StandardScaler,3,0.679,0.6835,0.6667,0.675,0.7852
3,StandardScaler,5,0.716,0.7273,0.6914,0.7089,0.8017
3,StandardScaler,7,0.7099,0.7237,0.679,0.7006,0.8069
3,StandardScaler,9,0.716,0.7465,0.6543,0.6974,0.7834
3,StandardScaler,11,0.6728,0.6892,0.6296,0.6581,0.7689
3,MinMaxScaler,3,0.6728,0.675,0.6667,0.6708,0.7785
3,MinMaxScaler,5,0.716,0.7273,0.6914,0.7089,0.8027
3,MinMaxScaler,7,0.7346,0.7639,0.679,0.719,0.8005
3,MinMaxScaler,9,0.7037,0.726,0.6543,0.6883,0.7747
3,MinMaxScaler,11,0.6975,0.7222,0.642,0.6797,0.7777
3,RobustScaler,3,0.716,0.7273,0.6914,0.7089,0.7845
3,RobustScaler,5,0.7284,0.7342,0.716,0.725,0.7913
3,RobustScaler,7,0.716,0.7273,0.6914,0.7089,0.8008
3,RobustScaler,9,0.7346,0.7568,0.6914,0.7226,0.7819
3,RobustScaler,11,0.6914,0.7183,0.6296,0.6711,0.7779
3,Normalizer,3,0.7099,0.7073,0.716,0.7117,0.7529
3,Normalizer,5,0.679,0.679,0.679,0.679,0.7478
3,Normalizer,7,0.6914,0.7067,0.6543,0.6795,0.7378
3,Normalizer,9,0.6728,0.7,0.6049,0.649,0.7561
3,Normalizer,11,0.6605,0.6912,0.5802,0.6309,0.7479
4,NoScaler,3,0.6605,0.6667,0.642,0.6541,0.702
4,NoScaler,5,0.6481,0.6667,0.5926,0.6275,0.7289
4,NoScaler,7,0.6728,0.6892,0.6296,0.6581,0.7549
4,NoScaler,9,0.6667,0.7015,0.5802,0.6351,0.7434
4,NoScaler,11,0.679,0.7101,0.6049,0.6533,0.7306
4,StandardScaler,3,0.6111,0.6098,0.6173,0.6135,0.6784
4,StandardScaler,5,0.6543,0.6761,0.5926,0.6316,0.7237
4,StandardScaler,7,0.6358,0.6528,0.5802,0.6144,0.7276
4,StandardScaler,9,0.6605,0.7031,0.5556,0.6207,0.7434
4,StandardScaler,11,0.6728,0.7121,0.5802,0.6395,0.7358
4,MinMaxScaler,3,0.6173,0.6173,0.6173,0.6173,0.6777
4,MinMaxScaler,5,0.6235,0.6389,0.5679,0.6013,0.7092
4,MinMaxScaler,7,0.642,0.662,0.5802,0.6184,0.7294
4,MinMaxScaler,9,0.6605,0.697,0.5679,0.6259,0.7292
4,MinMaxScaler,11,0.6852,0.7419,0.5679,0.6434,0.7399
4,RobustScaler,3,0.6296,0.6329,0.6173,0.625,0.6912
4,RobustScaler,5,0.6481,0.6667,0.5926,0.6275,0.7251
4,RobustScaler,7,0.6605,0.6806,0.6049,0.6405,0.7484
4,RobustScaler,9,0.6605,0.6912,0.5802,0.6309,0.7433
4,RobustScaler,11,0.6605,0.6912,0.5802,0.6309,0.7333
4,Normalizer,3,0.6852,0.7273,0.5926,0.6531,0.7028
4,Normalizer,5,0.642,0.6716,0.5556,0.6081,0.6734
4,Normalizer,7,0.6296,0.6567,0.5432,0.5946,0.6928
4,Normalizer,9,0.6605,0.6806,0.6049,0.6405,0.7225
4,Normalizer,11,0.6296,0.6667,0.5185,0.5833,0.7142
5,NoScaler,3,0.6975,0.7105,0.6667,0.6879,0.7655
5,NoScaler,5,0.7099,0.7576,0.6173,0.6803,0.7698
5,NoScaler,7,0.6728,0.7333,0.5432,0.6241,0.7738
5,NoScaler,9,0.6975,0.7759,0.5556,0.6475,0.767
5,NoScaler,11,0.7037,0.7705,0.5802,0.662,0.7754
5,StandardScaler,3,0.7099,0.7237,0.679,0.7006,0.7699
5,StandardScaler,5,0.6914,0.746,0.5802,0.6528,0.7654
5,StandardScaler,7,0.6852,0.75,0.5556,0.6383,0.7739
5,StandardScaler,9,0.6975,0.7759,0.5556,0.6475,0.757
5,StandardScaler,11,0.7037,0.7797,0.5679,0.6571,0.7754
5,MinMaxScaler,3,0.7099,0.7237,0.679,0.7006,0.7696
5,MinMaxScaler,5,0.7099,0.7576,0.6173,0.6803,0.7743
5,MinMaxScaler,7,0.679,0.7231,0.5802,0.6438,0.7666
5,MinMaxScaler,9,0.6975,0.7667,0.5679,0.6525,0.7721
5,MinMaxScaler,11,0.6975,0.7667,0.5679,0.6525,0.7679
5,RobustScaler,3,0.7037,0.7143,0.679,0.6962,0.7651
5,RobustScaler,5,0.6975,0.75,0.5926,0.6621,0.7701
5,RobustScaler,7,0.679,0.7377,0.5556,0.6338,0.7756
5,RobustScaler,9,0.6914,0.7627,0.5556,0.6429,0.7526
5,RobustScaler,11,0.6914,0.7627,0.5556,0.6429,0.7763
5,Normalizer,3,0.6111,0.6154,0.5926,0.6038,0.6383
5,Normalizer,5,0.6543,0.6471,0.679,0.6627,0.6914
5,Normalizer,7,0.6728,0.6892,0.6296,0.6581,0.7058
5,Normalizer,9,0.6975,0.7286,0.6296,0.6755,0.7175
5,Normalizer,11,0.7037,0.7324,0.642,0.6842,0.7254
