Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,7,0.6909,0.739,0.5937,0.6565,0.7536
StandardScaler,5,0.6897,0.734,0.5986,0.6578,0.7486
RobustScaler,7,0.6884,0.7332,0.5961,0.6558,0.7542
RobustScaler,5,0.6872,0.7278,0.6011,0.6565,0.7499
NoScaler,5,0.686,0.7215,0.6085,0.6588,0.7513
RobustScaler,9,0.6848,0.7262,0.5936,0.6523,0.7469
NoScaler,3,0.6847,0.7103,0.6283,0.6651,0.7373
RobustScaler,3,0.6835,0.7077,0.6307,0.6654,0.7374
MinMaxScaler,5,0.6835,0.7231,0.5986,0.6535,0.7417
NoScaler,9,0.6835,0.7304,0.5838,0.648,0.7491
MinMaxScaler,11,0.6811,0.7338,0.5691,0.6402,0.7454
MinMaxScaler,7,0.6811,0.7193,0.5936,0.6498,0.7475
NoScaler,11,0.6786,0.7258,0.5765,0.6414,0.7437
StandardScaler,11,0.6749,0.7254,0.5666,0.6349,0.7416
StandardScaler,7,0.6737,0.7145,0.5813,0.6395,0.7485
RobustScaler,11,0.6737,0.7196,0.5715,0.6363,0.7438
MinMaxScaler,9,0.6737,0.7173,0.5739,0.6369,0.7395
MinMaxScaler,3,0.6736,0.6973,0.6233,0.656,0.736
StandardScaler,9,0.6725,0.7202,0.5641,0.6319,0.7426
StandardScaler,3,0.6699,0.6946,0.616,0.6504,0.7352
Normalizer,9,0.6687,0.7044,0.5813,0.636,0.7094
Normalizer,3,0.6589,0.6726,0.6231,0.6456,0.6883
Normalizer,11,0.654,0.6949,0.5443,0.6088,0.7071
Normalizer,7,0.654,0.6771,0.5862,0.6279,0.7007
Normalizer,5,0.6515,0.6641,0.6133,0.6363,0.6936
