Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.6958,0.6973,0.6958,0.6964,0.8312
RobustScaler,3,0.6953,0.6977,0.6953,0.6961,0.8269
RobustScaler,7,0.693,0.6951,0.693,0.6937,0.8327
StandardScaler,7,0.6873,0.6885,0.6873,0.6878,0.8328
StandardScaler,3,0.6856,0.6879,0.6856,0.6864,0.8231
StandardScaler,5,0.6845,0.6856,0.6845,0.6849,0.8315
StandardScaler,9,0.6777,0.6793,0.6777,0.6783,0.8309
RobustScaler,9,0.672,0.6742,0.672,0.6727,0.8306
MinMaxScaler,3,0.6703,0.6726,0.6703,0.671,0.8102
MinMaxScaler,5,0.6674,0.6687,0.6674,0.6679,0.8191
MinMaxScaler,7,0.6589,0.6592,0.6589,0.659,0.8171
MinMaxScaler,9,0.6555,0.6561,0.6555,0.6556,0.8161
NoScaler,3,0.6373,0.6375,0.6373,0.6372,0.7739
NoScaler,5,0.6299,0.6313,0.6299,0.6304,0.7806
Normalizer,3,0.6225,0.6233,0.6225,0.6228,0.7675
Normalizer,5,0.6197,0.6208,0.6197,0.6201,0.7723
NoScaler,7,0.6185,0.6194,0.6185,0.6189,0.7748
NoScaler,9,0.618,0.6183,0.618,0.6181,0.7765
Normalizer,9,0.6146,0.6157,0.6146,0.615,0.7611
Normalizer,7,0.6128,0.6138,0.6128,0.6132,0.7692
