Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.7214,0.723,0.7214,0.7221,0.8534
StandardScaler,5,0.7135,0.7145,0.7135,0.7139,0.8469
StandardScaler,3,0.7129,0.714,0.7129,0.7133,0.836
StandardScaler,7,0.7123,0.7125,0.7123,0.7124,0.8535
RobustScaler,7,0.7118,0.7133,0.7118,0.7124,0.8563
RobustScaler,3,0.7089,0.7109,0.7089,0.7097,0.8401
RobustScaler,9,0.6998,0.7016,0.6998,0.7005,0.8544
StandardScaler,9,0.6976,0.6985,0.6976,0.6978,0.8487
MinMaxScaler,3,0.6936,0.695,0.6936,0.694,0.8214
MinMaxScaler,5,0.6833,0.6846,0.6833,0.6838,0.8303
MinMaxScaler,7,0.6805,0.6813,0.6805,0.6808,0.8349
MinMaxScaler,9,0.6686,0.6691,0.6686,0.6687,0.8299
NoScaler,5,0.6617,0.6624,0.6617,0.662,0.8011
NoScaler,3,0.6543,0.6546,0.6543,0.6544,0.7909
Normalizer,5,0.6435,0.644,0.6435,0.6437,0.7832
Normalizer,3,0.639,0.6394,0.639,0.6391,0.7803
NoScaler,9,0.6367,0.636,0.6367,0.6361,0.7972
NoScaler,7,0.6333,0.6332,0.6333,0.6331,0.8
Normalizer,7,0.6094,0.6095,0.6094,0.6094,0.7782
Normalizer,9,0.6066,0.6071,0.6066,0.6064,0.7734
