Fold,Scaler,k,ACC
1,StandardScaler,3,0.6626
1,StandardScaler,5,0.6933
1,StandardScaler,7,0.6871
1,NoScaler,3,0.681
1,NoScaler,5,0.6626
1,NoScaler,7,0.6933
2,StandardScaler,3,0.6871
2,StandardScaler,5,0.6933
2,StandardScaler,7,0.6503
2,NoScaler,3,0.681
2,NoScaler,5,0.6933
2,NoScaler,7,0.6933
3,StandardScaler,3,0.679
3,StandardScaler,5,0.716
3,StandardScaler,7,0.7099
3,NoScaler,3,0.7037
3,NoScaler,5,0.716
3,NoScaler,7,0.7222
4,StandardScaler,3,0.6111
4,StandardScaler,5,0.6543
4,StandardScaler,7,0.6358
4,NoScaler,3,0.6605
4,NoScaler,5,0.6481
4,NoScaler,7,0.6728
5,StandardScaler,3,0.7099
5,StandardScaler,5,0.6914
5,StandardScaler,7,0.6852
5,NoScaler,3,0.6975
5,NoScaler,5,0.7099
5,NoScaler,7,0.6728
