Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,7,0.6301,0.6298,0.6301,0.6295,0.779
RobustScaler,7,0.6283,0.6282,0.6283,0.6279,0.7783
MinMaxScaler,7,0.628,0.6279,0.628,0.6275,0.7784
NoScaler,9,0.6276,0.6273,0.6276,0.6269,0.779
StandardScaler,7,0.6275,0.6274,0.6275,0.6271,0.7781
NoScaler,11,0.6262,0.6262,0.6262,0.6255,0.7786
RobustScaler,9,0.6262,0.6259,0.6262,0.6257,0.78
StandardScaler,9,0.6259,0.6256,0.6259,0.6254,0.7798
NoScaler,5,0.6258,0.6254,0.6258,0.6253,0.7724
MinMaxScaler,9,0.6253,0.6251,0.6253,0.6247,0.7798
MinMaxScaler,11,0.6237,0.6234,0.6237,0.623,0.7801
RobustScaler,11,0.6234,0.6231,0.6234,0.6227,0.7799
RobustScaler,5,0.6234,0.6232,0.6234,0.6232,0.7709
StandardScaler,11,0.6233,0.623,0.6233,0.6226,0.78
MinMaxScaler,5,0.6232,0.623,0.6232,0.6229,0.7711
StandardScaler,5,0.6228,0.6225,0.6228,0.6225,0.7704
NoScaler,3,0.6093,0.6089,0.6093,0.609,0.7557
RobustScaler,3,0.6063,0.6061,0.6063,0.606,0.7533
StandardScaler,3,0.6062,0.606,0.6062,0.6059,0.7529
MinMaxScaler,3,0.6053,0.605,0.6053,0.605,0.7531
Normalizer,9,0.5764,0.576,0.5764,0.5758,0.7412
Normalizer,7,0.5753,0.5753,0.5753,0.575,0.7396
Normalizer,11,0.5746,0.5744,0.5746,0.5741,0.7415
Normalizer,5,0.5696,0.5697,0.5696,0.5694,0.7322
Normalizer,3,0.5569,0.5567,0.5569,0.5567,0.7114
