Dataset,Task,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Train_Time_s,Test_Time_s,Scaler,Timestamp
icirrhosis_encoded.csv,multiclass,100,None,2,1,sqrt,0.5526,0.5064,0.3606,0.2849,0.015,StandardScaler,20251119_205535
icirrhosis_encoded.csv,multiclass,300,None,2,1,sqrt,0.5498,0.4914,0.3434,0.6801,0.0376,StandardScaler,20251119_205536
icirrhosis_encoded.csv,multiclass,500,20,5,2,sqrt,0.5365,0.5018,0.3637,1.1054,0.0607,StandardScaler,20251119_205537
icirrhosis_encoded.csv,multiclass,300,None,2,1,0.8,0.5374,0.4902,0.3475,2.4639,0.04,StandardScaler,20251119_205540
icirrhosis_encoded.csv,multiclass,100,None,2,1,sqrt,0.5488,0.5036,0.3586,0.2124,0.0158,RobustScaler,20251119_205540
icirrhosis_encoded.csv,multiclass,300,None,2,1,sqrt,0.5507,0.4934,0.3455,0.6995,0.0385,RobustScaler,20251119_205541
icirrhosis_encoded.csv,multiclass,500,20,5,2,sqrt,0.5384,0.5036,0.3649,1.0817,0.0516,RobustScaler,20251119_205542
icirrhosis_encoded.csv,multiclass,300,None,2,1,0.8,0.5393,0.4917,0.3485,2.0991,0.0367,RobustScaler,20251119_205544
icirrhosis_encoded.csv,multiclass,100,None,2,1,sqrt,0.545,0.4993,0.3551,0.2213,0.0125,MinMaxScaler,20251119_205544
icirrhosis_encoded.csv,multiclass,300,None,2,1,sqrt,0.5498,0.4927,0.345,0.6668,0.0408,MinMaxScaler,20251119_205545
icirrhosis_encoded.csv,multiclass,500,20,5,2,sqrt,0.5384,0.5032,0.3649,1.1043,0.0509,MinMaxScaler,20251119_205546
icirrhosis_encoded.csv,multiclass,300,None,2,1,0.8,0.5384,0.4899,0.3467,2.0889,0.041,MinMaxScaler,20251119_205548
icirrhosis_encoded.csv,multiclass,100,None,2,1,sqrt,0.5469,0.5008,0.3561,0.2125,0.0149,QuantileTransformer,20251119_205549
icirrhosis_encoded.csv,multiclass,300,None,2,1,sqrt,0.5545,0.5,0.3521,0.6956,0.0402,QuantileTransformer,20251119_205549
icirrhosis_encoded.csv,multiclass,500,20,5,2,sqrt,0.5365,0.5014,0.3629,1.2437,0.0638,QuantileTransformer,20251119_205551
icirrhosis_encoded.csv,multiclass,300,None,2,1,0.8,0.5327,0.4853,0.3436,2.2791,0.0392,QuantileTransformer,20251119_205553
