Dataset,Task,K,Weights,Metric,P,Best_CV_Acc,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Test_Precision_Weighted,Test_Recall_Weighted,Train_Time_s,Test_Time_s,Scaler,Timestamp
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6325,0.645,0.5891,0.668,0.6325,0.0867,0.0132,,20251121_204341
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6239,0.6375,0.5821,0.6632,0.6239,0.2109,0.0135,,20251121_204341
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.6239,0.6375,0.5821,0.6632,0.6239,0.3511,0.0241,,20251121_204342
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6838,0.6932,0.6419,0.7104,0.6838,0.2254,0.0136,,20251121_204342
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6496,0.6582,0.5977,0.6712,0.6496,0.0836,0.0135,StandardScaler,20251121_204342
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6068,0.6176,0.5518,0.6335,0.6068,0.2213,0.0135,StandardScaler,20251121_204342
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.641,0.654,0.6011,0.6796,0.641,0.3523,0.0258,StandardScaler,20251121_204343
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6325,0.6415,0.5781,0.6548,0.6325,0.231,0.0112,StandardScaler,20251121_204343
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6325,0.645,0.5891,0.668,0.6325,0.0725,0.0135,MinMaxScaler,20251121_204343
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.641,0.6525,0.5962,0.6728,0.641,0.2111,0.0111,MinMaxScaler,20251121_204343
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.6154,0.6299,0.5752,0.6585,0.6154,0.351,0.0239,MinMaxScaler,20251121_204344
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6325,0.645,0.5891,0.668,0.6325,0.2323,0.0127,MinMaxScaler,20251121_204344
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6068,0.6176,0.5518,0.6335,0.6068,0.0851,0.0135,RobustScaler,20251121_204344
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6581,0.6656,0.6047,0.6763,0.6581,0.2516,0.0117,RobustScaler,20251121_204344
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.6496,0.6615,0.6082,0.6843,0.6496,0.3652,0.0252,RobustScaler,20251121_204345
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6325,0.6434,0.5838,0.6613,0.6325,0.2358,0.0111,RobustScaler,20251121_204345
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.7009,0.7122,0.6696,0.7401,0.7009,0.0852,0.0128,Normalizer,20251121_204345
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6752,0.6869,0.6391,0.7122,0.6752,0.2173,0.0134,Normalizer,20251121_204345
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.7009,0.713,0.6733,0.7474,0.7009,0.3601,0.0263,Normalizer,20251121_204346
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6667,0.6793,0.6318,0.7075,0.6667,0.2459,0.0135,Normalizer,20251121_204346
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6068,0.621,0.5631,0.6469,0.6068,0.0721,0.0124,MaxAbsScaler,20251121_204346
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6154,0.6285,0.57,0.6517,0.6154,0.2117,0.0406,MaxAbsScaler,20251121_204346
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.6325,0.6474,0.5986,0.682,0.6325,0.3509,0.0262,MaxAbsScaler,20251121_204347
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.641,0.654,0.6011,0.6796,0.641,0.2232,0.0134,MaxAbsScaler,20251121_204347
indian_liver_patient_preprocessed.csv,binary,100,None,2,1,sqrt,0.6667,0.6706,0.6057,0.6755,0.6667,0.0802,0.0115,QuantileTransformer,20251121_204347
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,sqrt,0.6496,0.6582,0.5977,0.6712,0.6496,0.2186,0.0129,QuantileTransformer,20251121_204347
indian_liver_patient_preprocessed.csv,binary,500,20,5,2,sqrt,0.6838,0.6916,0.637,0.7041,0.6838,0.3491,0.0239,QuantileTransformer,20251121_204348
indian_liver_patient_preprocessed.csv,binary,300,None,2,1,0.8,0.6325,0.6415,0.5781,0.6548,0.6325,0.2523,0.0117,QuantileTransformer,20251121_204348
